Wavelength,QE183,dQE,QE294
790,0.40152,0.03,0.4608
792,0.396816,0.03,0.45684
794,0.392112,0.03,0.45288
796,0.387408,0.03,0.44892
798,0.382704,0.03,0.44496
800,0.378,0.03,0.441
802,0.375648,0.03,0.4374
804,0.373296,0.03,0.4338
806,0.370944,0.03,0.4302
808,0.368592,0.03,0.42660000000000003
810,0.36624,0.03,0.423
812,0.363888,0.03,0.4194
814,0.3615359999999999,0.03,0.4158
816,0.359184,0.03,0.4122
818,0.356832,0.03,0.4086
820,0.35448,0.03,0.405
822,0.352128,0.03,0.40140000000000003
824,0.349776,0.03,0.39780000000000004
826,0.347424,0.03,0.3942
828,0.345072,0.03,0.3906
830,0.3427199999999999,0.03,0.387
832,0.340368,0.03,0.3834
834,0.338016,0.03,0.3798
836,0.3356639999999999,0.03,0.37620000000000003
838,0.333312,0.03,0.37260000000000004
840,0.33096,0.03,0.36900000000000005
842,0.328608,0.03,0.36540000000000006
844,0.326256,0.03,0.3618
846,0.3239039999999999,0.03,0.3582
848,0.321552,0.03,0.3546
850,0.3192,0.03,0.35100000000000003
852,0.314832,0.03,0.34776
854,0.3104639999999999,0.03,0.34452000000000005
856,0.306096,0.03,0.34128000000000003
858,0.301728,0.03,0.33804
860,0.2973599999999999,0.03,0.33480000000000004
862,0.292992,0.03,0.33156
864,0.288624,0.03,0.32832000000000006
866,0.284256,0.03,0.32508000000000004
868,0.2798879999999999,0.03,0.32184
870,0.27552,0.03,0.31860000000000005
872,0.271152,0.03,0.31536000000000003
874,0.266784,0.03,0.31212
876,0.262416,0.03,0.30888000000000004
878,0.258048,0.03,0.30564
880,0.25368,0.03,0.3024
882,0.2493119999999999,0.03,0.29916000000000004
884,0.244944,0.03,0.29592
886,0.240576,0.03,0.29268000000000005
888,0.2362079999999999,0.03,0.28944000000000003
890,0.23184,0.03,0.2862
892,0.227472,0.03,0.28296
894,0.223104,0.03,0.27972
896,0.2187359999999999,0.03,0.27648
898,0.214368,0.03,0.27324000000000004
900,0.21,0.03,0.27
902,0.206976,0.03,0.26568
904,0.203952,0.03,0.26136000000000004
906,0.200928,0.03,0.25704
908,0.197904,0.03,0.25272
910,0.19488,0.03,0.2484
912,0.191856,0.03,0.24408000000000002
914,0.188832,0.03,0.23976
916,0.185808,0.03,0.23544
918,0.182784,0.03,0.23112
920,0.1797599999999999,0.03,0.2268
922,0.176736,0.03,0.22248
924,0.1737119999999999,0.03,0.21816000000000002
926,0.170688,0.03,0.21384
928,0.1676639999999999,0.03,0.20952
930,0.1646399999999999,0.03,0.2052
932,0.1616159999999999,0.03,0.20088
934,0.1585919999999999,0.03,0.19656
936,0.1555679999999999,0.03,0.19224
938,0.1525439999999999,0.03,0.18792
940,0.14952,0.03,0.18359999999999999
942,0.146496,0.03,0.17928
944,0.143472,0.03,0.17496
946,0.140448,0.03,0.17064000000000001
948,0.137424,0.03,0.16632
950,0.1344,0.03,0.162
952,0.132384,0.03,0.1584
954,0.1303679999999999,0.03,0.1548
956,0.128352,0.03,0.1512
958,0.126336,0.03,0.1476
960,0.1243199999999999,0.03,0.14400000000000002
962,0.122304,0.03,0.1404
964,0.1202879999999999,0.03,0.1368
966,0.1182719999999999,0.03,0.1332
968,0.116256,0.03,0.1296
970,0.11424,0.03,0.126
972,0.1122239999999999,0.03,0.12240000000000001
974,0.110208,0.03,0.1188
976,0.108192,0.03,0.1152
978,0.1061759999999999,0.03,0.1116
980,0.10416,0.03,0.10800000000000001
982,0.102144,0.03,0.1044
984,0.100128,0.03,0.1008
