,Wavelength,QE,dQE
252,840,0.36,0.05
253,842,0.36,0.05
254,844,0.36,0.05
255,846,0.36,0.05
256,848,0.36,0.05
257,850,0.36,0.05
258,852,0.36,0.05
259,854,0.36,0.05
260,856,0.36,0.05
261,858,0.36,0.05
262,860,0.36,0.05
263,862,0.36,0.05
264,864,0.36,0.05
265,866,0.36,0.05
266,868,0.36,0.05
267,870,0.36,0.05
268,872,0.36,0.05
269,874,0.36,0.05
270,876,0.36,0.05
271,878,0.36,0.05
272,880,0.36,0.05
273,882,0.36,0.05
274,884,0.36,0.05
275,886,0.36,0.05
276,888,0.36,0.05
277,890,0.36,0.05
278,892,0.36,0.05
279,894,0.36,0.05
280,896,0.36,0.05
281,898,0.36,0.05
282,900,0.36,0.05
283,902,0.36,0.05
284,904,0.36,0.05
285,906,0.36,0.05
286,908,0.36,0.05
287,910,0.36,0.05
288,912,0.36,0.05
289,914,0.36,0.05
290,916,0.36,0.05
291,918,0.36,0.05
292,920,0.36,0.05
293,922,0.36,0.05
294,924,0.36,0.05
295,926,0.36,0.05
296,928,0.36,0.05
297,930,0.36,0.05
298,932,0.36,0.05
299,934,0.36,0.05
300,936,0.36,0.05
301,938,0.36,0.05
302,940,0.36,0.05
303,942,0.36,0.05
304,944,0.36,0.05
305,946,0.36,0.05
306,948,0.36,0.05
307,950,0.36,0.05
308,952,0.36,0.05
309,954,0.36,0.05
310,956,0.36,0.05
311,958,0.36,0.05
312,960,0.36,0.05
313,962,0.36,0.05
314,964,0.36,0.05
315,966,0.36,0.05
316,968,0.36,0.05
317,970,0.36,0.05
318,972,0.36,0.05
319,974,0.36,0.05
320,976,0.36,0.05
321,978,0.36,0.05
322,980,0.36,0.05
323,982,0.36,0.05
324,984,0.36,0.05
325,986,0.36,0.05
326,988,0.36,0.05
327,990,0.36,0.05
328,992,0.36,0.05
329,994,0.36,0.05
330,996,0.36,0.05
331,998,0.36,0.05
332,1000,0.36,0.05
333,1002,0.36,0.05
334,1004,0.36,0.05
335,1006,0.36,0.05
336,1008,0.36,0.05
337,1010,0.36,0.05
338,1012,0.36,0.05
339,1014,0.36,0.05
340,1016,0.36,0.05
341,1018,0.36,0.05
342,1020,0.36,0.05
